protocol,track,representation,model,fold,n_features,n_discovered,n_train,n_validation,rmse,mae,r2,target_mean,target_std
fold_municipality_grouped,competition,B0_base,Ridge10,5,1400,0,132,6,0.8303334634252449,0.75041256986006,-0.10057740864112241,4.248333333333332,0.8670274889913622
fold_state_stratified,competition,B0_base,ExtraTrees,1,1400,0,110,28,0.5499099869996362,0.37180321428571406,0.5961653825825823,3.9039285714285716,0.8812253223682743
fold_state_stratified,competition,B0_base,ExtraTrees,2,1400,0,110,28,0.49232424130168617,0.3913355952380959,0.625228682206205,4.050714285714286,0.818964696799059
fold_state_stratified,competition,B0_base,ExtraTrees,3,1400,0,110,28,0.4053349841283009,0.29970503968254,0.768609644472729,3.9474999999999993,0.8581013710296488
fold_state_stratified,competition,B0_base,ExtraTrees,4,1400,0,111,27,0.5625395079168272,0.36263810699588456,0.5744960948692828,3.817407407407407,0.8788129782338507
fold_state_stratified,competition,B0_base,ExtraTrees,5,1400,0,111,27,0.4771779590971905,0.37277927983539194,0.6780960167248213,4.055925925925926,0.8570623317214684
fold_municipality_grouped,competition,B0_base,ExtraTrees,1,1400,0,105,33,0.8401956356793345,0.7546199494949503,-3.975769327299031,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,competition,B0_base,ExtraTrees,2,1400,0,122,16,1.2619076702358822,1.188183402777777,-8.020960563382143,3.08125,0.43392587692677037
fold_municipality_grouped,competition,B0_base,ExtraTrees,3,1400,0,128,10,0.8062519904198222,0.7842423333333327,-19.333519098374182,4.520999999999999,0.1884704515596839
fold_municipality_grouped,competition,B0_base,ExtraTrees,4,1400,0,65,73,0.8572895061455478,0.7619834398782344,-1.0588748404867254,4.456712328767122,0.6015998457689494
fold_municipality_grouped,competition,B0_base,ExtraTrees,5,1400,0,132,6,0.6082315635662215,0.5760688888888897,0.40945442521735964,4.248333333333332,0.8670274889913622
fold_state_stratified,competition,B1_agronomic,Ridge10,1,350,0,110,28,0.7221987545251239,0.46581055086680284,0.30347966398750537,3.9039285714285716,0.8812253223682743
fold_state_stratified,competition,B1_agronomic,Ridge10,2,350,0,110,28,0.5904642824668094,0.46803717181156046,0.4609225451742376,4.050714285714286,0.818964696799059
fold_state_stratified,competition,B1_agronomic,Ridge10,3,350,0,110,28,0.6597007536060524,0.4951271390518401,0.38706977796100484,3.9474999999999993,0.8581013710296488
fold_state_stratified,competition,B1_agronomic,Ridge10,4,350,0,111,27,0.7733950382829272,0.5806942476241009,0.19573298899587022,3.817407407407407,0.8788129782338507
fold_state_stratified,competition,B1_agronomic,Ridge10,5,350,0,111,27,0.6460937123597047,0.5249968583683046,0.40985785724944734,4.055925925925926,0.8570623317214684
fold_municipality_grouped,competition,B1_agronomic,Ridge10,1,350,0,105,33,1.264816530498125,0.9824641249542733,-10.275984284721106,3.0454545454545454,0.3825007427206099
