protocol,outer_fold,meta_model,meta_kind,n_train,n_validation,n_base_candidates,n_meta_features,inner_best_rmse,best_params_json,elapsed_seconds,rmse,mae,r2
fold_municipality_grouped,4,MeanAll,mean_all,65,73,10,15,,{},0.0018390999175608158,0.8225118347065403,0.7153752462340012,-0.8952183043258075
fold_municipality_grouped,4,ConvexAll,convex_simplex,65,73,10,15,,{},0.007261599879711866,0.8387574252295176,0.7338715846396728,-0.9708232947343243
fold_municipality_grouped,4,RidgeStack,ridge,65,73,10,15,0.9130253657932311,"{""model__alpha"": 1000.0}",0.07202639989554882,1.366651024697817,1.2783959644878018,-4.232270567705724
fold_municipality_grouped,4,ElasticNetStack,elastic_net,65,73,10,15,0.9653116919076296,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.9}",0.10114549985155463,1.7151437838607433,1.5803520927467842,-7.240925699143627
fold_municipality_grouped,4,HuberStack,huber,65,73,10,15,1.5451204582998475,"{""model__alpha"": 0.1, ""model__epsilon"": 1.5}",0.5035439000930637,1.379432624085779,1.2557955368872034,-4.3305978180977585
fold_municipality_grouped,4,ExtraTreesStack,extra_trees,65,73,10,15,0.851123734764948,"{""max_features"": 1.0, ""min_samples_leaf"": 8}",4.7770688000600785,1.5072576218102975,1.4230289209771307,-5.364289233615519
fold_municipality_grouped,4,HistGBStack,hist_gradient_boosting,65,73,10,15,0.8742672344906932,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 3}",1.078005500137806,1.4745222511142018,1.3754293484021352,-5.090845627139885
fold_municipality_grouped,5,EqualTop3,equal_top3,132,6,10,15,,{},0.0013111999724060297,0.5406357720504369,0.4426739337642638,0.5334211284651722
fold_municipality_grouped,5,MeanAll,mean_all,132,6,10,15,,{},0.0009308001026511192,0.5646921436243353,0.4672912708063763,0.4909751280564697
fold_municipality_grouped,5,ConvexAll,convex_simplex,132,6,10,15,,{},0.0044126000721007586,0.6183815903315324,0.5085336789860374,0.3895801949532688
fold_municipality_grouped,5,RidgeStack,ridge,132,6,10,15,1.1637624406080367,"{""model__alpha"": 1000.0}",0.06997759989462793,1.0247723913387448,0.9818816733719947,-0.6763717944583727
fold_municipality_grouped,5,ElasticNetStack,elastic_net,132,6,10,15,1.246757828764763,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.9}",0.09814659995026886,1.2362132863124662,1.199978374718451,-1.4395084454750031
fold_municipality_grouped,5,HuberStack,huber,132,6,10,15,1.1471683470972673,"{""model__alpha"": 0.1, ""model__epsilon"": 1.2}",0.2870159999001771,1.3719114369865317,1.1561942963451028,-2.0044685716026542
fold_municipality_grouped,5,ExtraTreesStack,extra_trees,132,6,10,15,1.1300612823409002,"{""max_features"": 1.0, ""min_samples_leaf"": 3}",4.838110400130972,1.1986916013018516,1.0625040641534371,-1.2936673738205093
fold_municipality_grouped,5,HistGBStack,hist_gradient_boosting,132,6,10,15,1.0958799859018442,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_leaf_nodes"": 5}",1.3102388998959213,1.1901693082753713,1.0681559092039288,-1.2611689095465315
