protocol,outer_fold,stage,candidate,level1_fold,candidate_index,mean_test_rmse,std_test_rmse,rank_test_score,params_json
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,3.0,0,0.5245633965326781,0.16169286422055024,2,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,3.0,1,0.5403181121399613,0.16568455653519443,5,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,3.0,2,0.5662858341863457,0.1625222330051755,6,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,3.0,3,0.5187715636756918,0.15607936147399976,1,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 2}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,3.0,4,0.5306915103654114,0.1528658509125277,3,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 3}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,3.0,5,0.5314272827920792,0.16268479393507554,4,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 5}"
fold_state_stratified,1,outer_refit,B07_C1_ExtraTrees,,0,0.48845595445590045,0.06131240233342528,1,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
fold_state_stratified,1,outer_refit,B07_C1_ExtraTrees,,1,0.49245272723688943,0.06132608147800878,4,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3}"
fold_state_stratified,1,outer_refit,B07_C1_ExtraTrees,,2,0.5066314468521604,0.07058396736706439,6,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}"
fold_state_stratified,1,outer_refit,B07_C1_ExtraTrees,,3,0.48987787986228976,0.06875697206266974,2,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 2}"
fold_state_stratified,1,outer_refit,B07_C1_ExtraTrees,,4,0.49173146465518,0.06708250322770466,3,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 3}"
fold_state_stratified,1,outer_refit,B07_C1_ExtraTrees,,5,0.4932503820295045,0.06133763653383809,5,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 5}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,1.0,0,0.5859511396197634,0.0583030906623751,1,"{""model__n_components"": 2}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,1.0,1,0.6260856538990929,0.019941255520801338,2,"{""model__n_components"": 4}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,1.0,2,0.7818558159645354,0.01947502317043104,3,"{""model__n_components"": 8}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,1.0,3,0.8963323158466011,0.023387965249335285,4,"{""model__n_components"": 12}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,1.0,4,0.9566082956854434,0.03330632173559439,5,"{""model__n_components"": 20}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,2.0,0,0.5396637128213266,0.03884261957059165,1,"{""model__n_components"": 2}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,2.0,1,0.5865450061795547,0.02253067617592669,2,"{""model__n_components"": 4}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,2.0,2,0.6745117120301906,0.09648179105705401,3,"{""model__n_components"": 8}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,2.0,3,0.6860403893011817,0.09874071731040546,4,"{""model__n_components"": 12}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,2.0,4,0.7078807674352489,0.12635882562965928,5,"{""model__n_components"": 20}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,3.0,0,0.5629319451522918,0.10773440418525435,1,"{""model__n_components"": 2}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,3.0,1,0.5789569559506825,0.06552249367502672,2,"{""model__n_components"": 4}"
fold_state_stratified,1,level1_crossfit,B08_C1_PLS,3.0,2,0.6881439456692997,0.049871994095651795,3,"{""model__n_components"": 8}"
