neighbor_scope,metric,representation,query_id,query_split,neighbor_id,neighbor_split,rank,distance,same_state,same_municipality,neighbor_y
target_to_train,euclidean_pca,C0_base,AGC_107,PREDICCION,AGC_018,ENTRENAMIENTO,4,28.53991688273062,False,False,4.49
target_to_train,euclidean_pca,C0_base,AGC_107,PREDICCION,AGC_150,ENTRENAMIENTO,5,33.08916942419714,False,False,4.52
target_to_train,euclidean_pca,C0_base,AGC_113,PREDICCION,AGC_079,ENTRENAMIENTO,1,22.41602491916636,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_113,PREDICCION,AGC_078,ENTRENAMIENTO,2,22.727979553773235,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_113,PREDICCION,AGC_034,ENTRENAMIENTO,3,23.537581251297986,True,True,2.0
target_to_train,euclidean_pca,C0_base,AGC_113,PREDICCION,AGC_121,ENTRENAMIENTO,4,23.557578858511945,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_113,PREDICCION,AGC_038,ENTRENAMIENTO,5,25.86441032949618,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_116,PREDICCION,AGC_014,ENTRENAMIENTO,1,15.59941810306333,True,True,4.83
target_to_train,euclidean_pca,C0_base,AGC_116,PREDICCION,AGC_024,ENTRENAMIENTO,2,17.102415007416507,True,True,3.03
target_to_train,euclidean_pca,C0_base,AGC_116,PREDICCION,AGC_105,ENTRENAMIENTO,3,17.886867908458566,True,True,4.41
target_to_train,euclidean_pca,C0_base,AGC_116,PREDICCION,AGC_195,ENTRENAMIENTO,4,18.78686301454188,True,True,3.68
target_to_train,euclidean_pca,C0_base,AGC_116,PREDICCION,AGC_106,ENTRENAMIENTO,5,18.836581987807918,True,True,4.43
target_to_train,euclidean_pca,C0_base,AGC_118,PREDICCION,AGC_034,ENTRENAMIENTO,1,20.983259713414707,True,True,2.0
target_to_train,euclidean_pca,C0_base,AGC_118,PREDICCION,AGC_121,ENTRENAMIENTO,2,22.790384104272725,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_118,PREDICCION,AGC_081,ENTRENAMIENTO,3,23.6433752806682,True,True,3.7
target_to_train,euclidean_pca,C0_base,AGC_118,PREDICCION,AGC_038,ENTRENAMIENTO,4,24.491582799428098,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_118,PREDICCION,AGC_078,ENTRENAMIENTO,5,24.96018170335645,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_120,PREDICCION,AGC_048,ENTRENAMIENTO,1,36.3929390229821,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_120,PREDICCION,AGC_152,ENTRENAMIENTO,2,37.32507692471218,False,False,4.87
target_to_train,euclidean_pca,C0_base,AGC_120,PREDICCION,AGC_059,ENTRENAMIENTO,3,38.29247038035322,False,False,4.41
target_to_train,euclidean_pca,C0_base,AGC_120,PREDICCION,AGC_098,ENTRENAMIENTO,4,42.904833410431955,True,False,3.0
target_to_train,euclidean_pca,C0_base,AGC_120,PREDICCION,AGC_080,ENTRENAMIENTO,5,44.21531838279479,False,False,3.5
target_to_train,euclidean_pca,C0_base,AGC_126,PREDICCION,AGC_006,ENTRENAMIENTO,1,16.793166756498138,True,True,4.49
target_to_train,euclidean_pca,C0_base,AGC_126,PREDICCION,AGC_111,ENTRENAMIENTO,2,17.17805683315243,True,True,4.72
target_to_train,euclidean_pca,C0_base,AGC_126,PREDICCION,AGC_135,ENTRENAMIENTO,3,17.31964354548341,True,True,4.49
target_to_train,euclidean_pca,C0_base,AGC_126,PREDICCION,AGC_013,ENTRENAMIENTO,4,19.22565546458747,True,True,4.01
target_to_train,euclidean_pca,C0_base,AGC_126,PREDICCION,AGC_165,ENTRENAMIENTO,5,20.67171092746047,True,True,4.44
target_to_train,euclidean_pca,C0_base,AGC_128,PREDICCION,AGC_184,ENTRENAMIENTO,1,14.379989843592723,True,True,4.47
